0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	1.179245283018867880e-03
0.000000000000000000e+00	5.035377358490565891e-01
1.148105625717566044e-03	5.035377358490565891e-01
1.148105625717566044e-03	5.224056603773584717e-01
3.444316877152697916e-03	5.224056603773584717e-01
3.444316877152697916e-03	5.660377358490565891e-01
4.592422502870264177e-03	5.660377358490565891e-01
4.592422502870264177e-03	5.707547169811321153e-01
5.740528128587830438e-03	5.707547169811321153e-01
5.740528128587830438e-03	5.719339622641509413e-01
6.888633754305395832e-03	5.719339622641509413e-01
6.888633754305395832e-03	5.754716981132075304e-01
8.036739380022962093e-03	5.754716981132075304e-01
8.036739380022962093e-03	5.825471698113207086e-01
9.184845005740528354e-03	5.825471698113207086e-01
9.184845005740528354e-03	5.837264150943396457e-01
1.033295063145809461e-02	5.837264150943396457e-01
1.033295063145809461e-02	5.990566037735849392e-01
1.148105625717566088e-02	5.990566037735849392e-01
1.148105625717566088e-02	6.143867924528302327e-01
1.262916188289322540e-02	6.143867924528302327e-01
1.262916188289322540e-02	6.179245283018868218e-01
1.377726750861079166e-02	6.179245283018868218e-01
1.377726750861079166e-02	6.391509433962264675e-01
1.492537313432835792e-02	6.391509433962264675e-01
1.492537313432835792e-02	6.533018867924528239e-01
1.722158438576348871e-02	6.533018867924528239e-01
1.722158438576348871e-02	6.580188679245283501e-01
1.951779563719862123e-02	6.580188679245283501e-01
1.951779563719862123e-02	6.591981132075471761e-01
2.066590126291618923e-02	6.591981132075471761e-01
2.066590126291618923e-02	6.662735849056603543e-01
2.181400688863375376e-02	6.662735849056603543e-01
2.181400688863375376e-02	6.721698113207547065e-01
2.296211251435132175e-02	6.721698113207547065e-01
2.296211251435132175e-02	6.804245283018868218e-01
2.411021814006888628e-02	6.804245283018868218e-01
2.411021814006888628e-02	6.827830188679244738e-01
2.640642939150401880e-02	6.827830188679244738e-01
2.640642939150401880e-02	6.863207547169811740e-01
2.755453501722158333e-02	6.863207547169811740e-01
2.755453501722158333e-02	6.922169811320755262e-01
2.870264064293915132e-02	6.922169811320755262e-01
2.870264064293915132e-02	6.992924528301887044e-01
2.985074626865671585e-02	6.992924528301887044e-01
2.985074626865671585e-02	7.004716981132075304e-01
3.099885189437428384e-02	7.004716981132075304e-01
3.099885189437428384e-02	7.087264150943396457e-01
3.559127439724454889e-02	7.087264150943396457e-01
3.559127439724454889e-02	7.122641509433962348e-01
3.788748564867967794e-02	7.122641509433962348e-01
3.788748564867967794e-02	7.146226415094339979e-01
3.903559127439724247e-02	7.146226415094339979e-01
3.903559127439724247e-02	7.193396226415094130e-01
4.018369690011481393e-02	7.193396226415094130e-01
4.018369690011481393e-02	7.287735849056603543e-01
4.133180252583237846e-02	7.287735849056603543e-01
4.133180252583237846e-02	7.441037735849056478e-01
4.247990815154994299e-02	7.441037735849056478e-01
4.247990815154994299e-02	7.452830188679244738e-01
4.362801377726750751e-02	7.452830188679244738e-01
4.362801377726750751e-02	7.476415094339622369e-01
4.477611940298507204e-02	7.476415094339622369e-01
4.477611940298507204e-02	7.535377358490565891e-01
4.592422502870264350e-02	7.535377358490565891e-01
4.592422502870264350e-02	7.582547169811321153e-01
4.822043628013777256e-02	7.582547169811321153e-01
4.822043628013777256e-02	7.594339622641509413e-01
4.936854190585533708e-02	7.594339622641509413e-01
4.936854190585533708e-02	7.606132075471697673e-01
5.051664753157290161e-02	7.606132075471697673e-01
5.051664753157290161e-02	7.735849056603774088e-01
5.396096440872560213e-02	7.735849056603774088e-01
5.396096440872560213e-02	7.747641509433962348e-01
5.510907003444316665e-02	7.747641509433962348e-01
5.510907003444316665e-02	7.783018867924528239e-01
5.740528128587830264e-02	7.783018867924528239e-01
5.740528128587830264e-02	7.853773584905660021e-01
5.855338691159586717e-02	7.853773584905660021e-01
5.855338691159586717e-02	7.924528301886792914e-01
5.970149253731343170e-02	7.924528301886792914e-01
5.970149253731343170e-02	8.030660377358490587e-01
6.199770378874856769e-02	8.030660377358490587e-01
6.199770378874856769e-02	8.077830188679244738e-01
6.314580941446612528e-02	8.077830188679244738e-01
6.314580941446612528e-02	8.101415094339622369e-01
6.429391504018369674e-02	8.101415094339622369e-01
6.429391504018369674e-02	8.125000000000000000e-01
6.544202066590126821e-02	8.125000000000000000e-01
6.544202066590126821e-02	8.136792452830188260e-01
6.659012629161882579e-02	8.136792452830188260e-01
6.659012629161882579e-02	8.148584905660377631e-01
6.773823191733639726e-02	8.148584905660377631e-01
6.773823191733639726e-02	8.160377358490565891e-01
6.888633754305395485e-02	8.160377358490565891e-01
6.888633754305395485e-02	8.219339622641509413e-01
7.118254879448909778e-02	8.219339622641509413e-01
7.118254879448909778e-02	8.254716981132075304e-01
7.347876004592422683e-02	8.254716981132075304e-01
7.347876004592422683e-02	8.266509433962264675e-01
7.462686567164178442e-02	8.266509433962264675e-01
7.462686567164178442e-02	8.278301886792452935e-01
7.577497129735935588e-02	8.278301886792452935e-01
7.577497129735935588e-02	8.313679245283018826e-01
7.921928817451205640e-02	8.313679245283018826e-01
7.921928817451205640e-02	8.325471698113207086e-01
8.036739380022962786e-02	8.325471698113207086e-01
8.036739380022962786e-02	8.337264150943396457e-01
8.151549942594718545e-02	8.337264150943396457e-01
8.151549942594718545e-02	8.349056603773584717e-01
8.495981630309988597e-02	8.349056603773584717e-01
8.495981630309988597e-02	8.372641509433962348e-01
8.840413318025258649e-02	8.372641509433962348e-01
8.840413318025258649e-02	8.396226415094339979e-01
8.955223880597014408e-02	8.396226415094339979e-01
8.955223880597014408e-02	8.431603773584905870e-01
9.070034443168771554e-02	8.431603773584905870e-01
9.070034443168771554e-02	8.455188679245283501e-01
9.184845005740528701e-02	8.455188679245283501e-01
9.184845005740528701e-02	8.502358490566037652e-01
9.299655568312284459e-02	8.502358490566037652e-01
9.299655568312284459e-02	8.525943396226415283e-01
9.414466130884041606e-02	8.525943396226415283e-01
9.414466130884041606e-02	8.537735849056603543e-01
9.644087256027554511e-02	8.537735849056603543e-01
9.644087256027554511e-02	8.549528301886792914e-01
1.021814006888633747e-01	8.549528301886792914e-01
1.021814006888633747e-01	8.584905660377358805e-01
1.033295063145809461e-01	8.584905660377358805e-01
1.033295063145809461e-01	8.632075471698112956e-01
1.044776119402985037e-01	8.632075471698112956e-01
1.044776119402985037e-01	8.643867924528302327e-01
1.056257175660160752e-01	8.643867924528302327e-01
1.056257175660160752e-01	8.655660377358490587e-01
1.067738231917336328e-01	8.655660377358490587e-01
1.067738231917336328e-01	8.679245283018868218e-01
1.113662456946039048e-01	8.679245283018868218e-01
1.113662456946039048e-01	8.691037735849056478e-01
